CivilParish1930Code,CivilParish1930Name,Census1991CPCode1,Census1991CPCode2,Census1991CPCode3,Census1991CPCode4
289,Ednam,03007,,,
290,Edrom,01011,,,
291,Edzell,51014,,,
292,Elgin,19015,,,
293,Elie,14017,,,
294,Ellon,17013,,,
295,Errol,53026,,,
296,Erskine,49001,,,
297,Eskdalemuir,08008,,,
298,Ettrick,02006,,,
299,Evie and Rendall,54004,,,
300,Ewes,08009,,,
301,Eyemouth,01012,,,
302,Fala and Soutra,02020,30007,,
303,Falkirk,06005,,,
304,Falkland,14018,,,
305,Farnell,51015,,,
306,Farr,27007,,,
307,Fearn,25008,,,
308,Fenwick,44002,,,
309,Fern,51016,,,
310,Ferry Port on Craig,14019,,,
311,Fetlar,55004,,,
312,Fettercairn,18013,,,
313,Fetteresso,18014,,,
314,Findo Gask,53027,,,
315,Fintray,17014,,,
316,Fintry,07009,,,
317,Firth,54005,,,
318,Flisk,14020,,,
319,Fodderty,25009,,,
320,Fogo,01013,,,
321,Fordoun,18015,,,
322,Fordyce,16008,,,
323,Forfar,51017,,,
324,Forgan,14021,,,
325,Forgandenny,53028,,,
326,Forglen,16009,,,
327,Forgue,17015,,,
328,Forres,19016,,,
329,Forteviot,53029,,,
330,Fortingall,53030,,,
331,Fossoway,05007,53031,,
332,Foulden,01014,,,
333,Foveran,17016,,,
334,Fowlis Easter,52004,,,
335,Fowlis Wester,53032,,,
336,Fraserburgh,16010,,,
337,Fyvie,16011,,,
338,Gairloch,25010,,,
339,Galashiels,02007,,,
340,Galston,44003,,,
341,Gamrie,16012,,,
342,Gargunnock,07010,,,
343,Gartly,17017,,,
344,Garvald and Bara,28006,,,
345,Garvock,18016,,,
346,Gigha and Cara,32028,,,
347,Girthon,10010,,,
348,Girvan,45010,,,
349,Gladsmuir,28007,,,
350,Glamis,51018,,,
351,Glasgow,41006,50004,,
352,Glass,17018,,,
353,Glassary,32005,,,
354,Glasserton,11001,,,
355,Glassford,39006,,,
356,Glenbervie,18017,,,
357,Glenbuchat,17019,,,
358,Glencairn,09006,,,
359,Glencorse,30008,,,
360,Glendevon,53033,,,
361,Glenelg,23005,26001,,
362,Glenisla,51019,,,
363,"Glenmuick, Tullich and Glengairn",18018,,,
364,Glenorchy and Inishail,23006,32006,,
365,Glenshiel,26002,,,
366,Golspie,27008,,,
367,Gordon,01015,,,
368,Govan,41007,49002,,
369,Grange,19017,,,
370,Grangemouth,06006,,,
371,Greenlaw,01016,,,
372,Greenock,43001,,,
373,Gretna,08010,,,
374,Guthrie,51020,,,
375,Haddington,28008,,,
376,Half Morton,08011,,,
377,Halkirk,21004,,,
378,Hamilton,42005,48004,,
379,Harris,56003,,,
380,Hawick,03008,,,
381,Heriot,02008,,,
382,Hobkirk,03009,,,
383,Hoddom,08012,,,
384,Holm,54006,,,
385,Holywood,09007,,,
386,Houston and Killellan,43005,49003,,
387,Hownam,03010,,,
388,Hoy and Graemsay,54007,,,
389,Humbie,28009,30015,,
390,Hume,01017,,,
391,Huntly,17020,,,
392,Hutton,01018,,,
393,Hutton and Corrie,08013,,,
394,Inch,11002,,,
395,Inchinnan,49004,,,
396,Inchture,53034,,,
397,Innerleithen,04004,,,
398,Innerwick,01027,28010,,
399,Insch,17021,,,
400,Inveraray,32007,,,
401,Inverarity,51021,,,
402,Inveravon,19018,,,
403,Inverchaolain,32008,,,
404,Inveresk,28011,29010,30016,
405,Inverkeilor,51022,,,
406,Inverkeithing,12010,,,
407,Inverkeithny,16013,,,
408,Inverkip,43002,,,
