place,place_EN,place_SCO,coords
http://www.wikidata.org/entity/Q568713,Inverbervie,Bervie,Point(-2.28164 56.8433)
http://www.wikidata.org/entity/Q12060777,Inverey,,Point(-3.5052 56.9843)
http://www.wikidata.org/entity/Q15059179,Inverkeithny,,Point(-2.6202 57.5115)
http://www.wikidata.org/entity/Q6060579,Inverugie,,Point(-1.8306 57.5247)
http://www.wikidata.org/entity/Q1017537,Inverurie,Innerurie,Point(-2.386666666 57.285555555)
http://www.wikidata.org/entity/Q64759755,Ironside,,Point(-2.201181 57.557764)
http://www.wikidata.org/entity/Q1009153,Johnshaven,Johnshaven,Point(-2.33556 56.7953)
http://www.wikidata.org/entity/Q6383577,Keig,,Point(-2.646 57.26)
http://www.wikidata.org/entity/Q1016999,Kemnay,Kemnay,Point(-2.4489 57.2339)
http://www.wikidata.org/entity/Q1738922,Kennethmont,,Point(-2.768 57.3507)
http://www.wikidata.org/entity/Q1738922,Kennethmont,,Point(-2.76583333 57.34944444)
http://www.wikidata.org/entity/Q3051241,Kildrummy,Kildrummy,Point(-2.881111111 57.245833333)
http://www.wikidata.org/entity/Q1741697,Kincardine O'Neil,Kincairdine O'Neil,Point(-2.67399 57.0869)
http://www.wikidata.org/entity/Q6411463,King Edward,,Point(-2.47389 57.6067)
http://www.wikidata.org/entity/Q55657181,Kingseat,,Point(-2.16095 57.26235)
http://www.wikidata.org/entity/Q6414003,Kinmuck,,Point(-2.303 57.269)
http://www.wikidata.org/entity/Q6414048,Kinneff,,Point(-2.23847 56.8647)
http://www.wikidata.org/entity/Q407193,Kintore,Kintair,Point(-2.34621 57.236)
http://www.wikidata.org/entity/Q6415847,Kirkton of Durris,,Point(-2.37472 57.0561)
http://www.wikidata.org/entity/Q6415853,Kirkton of Tough,,Point(-2.6389 57.2052)
http://www.wikidata.org/entity/Q6415849,Kirktown of Fetteresso,,Point(-2.24083 56.9636)
http://www.wikidata.org/entity/Q987775,Laurencekirk,Lowrinkirk,Point(-2.46 56.83)
http://www.wikidata.org/entity/Q66022849,Lebano,,Point(-1.963893 57.475859)
http://www.wikidata.org/entity/Q15059181,Lochton,,Point(-2.40138889 57.02083333)
http://www.wikidata.org/entity/Q6667615,Logie Coldstone,,Point(-2.93528 57.1267)
http://www.wikidata.org/entity/Q6674093,Longmanhill,,Point(-2.43333 57.65)
http://www.wikidata.org/entity/Q1009669,Longside,,Point(-1.933 57.5167)
http://www.wikidata.org/entity/Q281188,Lonmay,,Point(-1.9779 57.6182)
http://www.wikidata.org/entity/Q408357,Lost,Lost,Point(-3.079211 57.204931)
http://www.wikidata.org/entity/Q64711387,Ludquharn,,Point(-1.944752 57.49675)
http://www.wikidata.org/entity/Q4567587,Lumphanan,Lumphanan,Point(-2.68667 57.1281)
http://www.wikidata.org/entity/Q6703438,Lumsden,,Point(-2.874 57.286)
http://www.wikidata.org/entity/Q65028494,Luthermuir,Luthermuir,Point(-2.561111 56.806944)
http://www.wikidata.org/entity/Q3778940,Macduff,Macduff,Point(-2.497 57.671)
http://www.wikidata.org/entity/Q17779065,Mains Of Slains,,Point(-1.92126 57.3624)
http://www.wikidata.org/entity/Q66022776,Marnoch,,Point(-2.67482 57.539806)
http://www.wikidata.org/entity/Q6781163,Maryculter,Marycouter,Point(-2.23333 57.0833)
http://www.wikidata.org/entity/Q6781209,Marykirk,,Point(-2.5155 56.7816)
http://www.wikidata.org/entity/Q60984594,Marywell,,Point(-2.114165 57.084872)
http://www.wikidata.org/entity/Q64947509,Marywell,,Point(-2.692196 57.052254)
http://www.wikidata.org/entity/Q6792195,Maud,Maud,Point(-2.12687 57.5221)
http://www.wikidata.org/entity/Q6810060,Meikle Wartle,,Point(-2.46403 57.36769)
http://www.wikidata.org/entity/Q6815916,Memsie,,Point(-2.05 57.65)
http://www.wikidata.org/entity/Q6819124,Mergie,,Point(-2.3367 56.9889)
http://www.wikidata.org/entity/Q6823672,Methlick,Methlick,Point(-2.24 57.425)
http://www.wikidata.org/entity/Q1805390,Midmar,,Point(-2.499084 57.147491)
http://www.wikidata.org/entity/Q6861551,Milton of Crathes,,Point(-2.4274 57.0558)
http://www.wikidata.org/entity/Q1011331,Mintlaw,Mintla,Point(-2.001 57.525)
http://www.wikidata.org/entity/Q6906978,Monymusk,,Point(-2.52385 57.2269)
http://www.wikidata.org/entity/Q6916624,Mossat,Mossat,Point(-2.871 57.261)
http://www.wikidata.org/entity/Q6930998,Muchalls,Muchalls,Point(-2.161 57.021)
http://www.wikidata.org/entity/Q64711751,Nether Kinmundy,,Point(-1.917326 57.490004)
http://www.wikidata.org/entity/Q6999007,Netherbrae,,Point(-2.341 57.624)
http://www.wikidata.org/entity/Q15059184,Netherley,,Point(-2.24166667 57.0325)
http://www.wikidata.org/entity/Q7005177,New Aberdour,New Aiberdour,Point(-2.1949 57.6591)
http://www.wikidata.org/entity/Q15059185,New Byth,New Byth,Point(-2.3 57.574)
http://www.wikidata.org/entity/Q1009938,New Deer,Auchreddie,Point(-2.2 57.5)
http://www.wikidata.org/entity/Q7009773,New Leeds,,Point(-2.008 57.582)
http://www.wikidata.org/entity/Q1009707,New Pitsligo,Cyaak,Point(-2.18333 57.5833)
http://www.wikidata.org/entity/Q15059187,Newburgh,Neebrie,Point(-2.00164 57.31557)
http://www.wikidata.org/entity/Q1009979,Newmachar,,Point(-2.192 57.267)
http://www.wikidata.org/entity/Q1008929,Newtonhill,Newtonhill,Point(-2.15 57.032)
http://www.wikidata.org/entity/Q1382485,Old Deer,Auld Deer,Point(-2.03667 57.5192)
http://www.wikidata.org/entity/Q7084820,Old Rayne,Auld Rayne,Point(-2.54 57.34)
http://www.wikidata.org/entity/Q1009340,Oldmeldrum,Auldmeldrum,Point(-2.32 57.335)
http://www.wikidata.org/entity/Q29569972,Ordiquhill,,Point(-2.726691666 57.598025)
http://www.wikidata.org/entity/Q7116286,Oyne,,Point(-2.54556 57.3211)
http://www.wikidata.org/entity/Q80362353,Peathill,,Point(-2.112783 57.684906)
http://www.wikidata.org/entity/Q206547,Pennan,Pennan,Point(-2.261 57.679)
http://www.wikidata.org/entity/Q1016944,Peterhead,Peterheid,Point(-1.7832 57.5091)
http://www.wikidata.org/entity/Q7198813,Pitcaple,,Point(-2.45 57.3167)
http://www.wikidata.org/entity/Q1012337,Pitmedden,,Point(-2.18 57.337)
http://www.wikidata.org/entity/Q66022770,Pittodrie,,Point(-2.508952 57.305865)
http://www.wikidata.org/entity/Q25343832,Plaidy,,Point(-2.4621408 57.5869557)
http://www.wikidata.org/entity/Q50255767,Port Erroll,,Point(-1.83333 57.41667)
http://www.wikidata.org/entity/Q1020236,Portlethen,Portlethen,Point(-2.13 57.061)
http://www.wikidata.org/entity/Q7232105,Portlethen Village,,Point(-2.11324 57.0569)
http://www.wikidata.org/entity/Q1010537,Portsoy,Portsoy,Point(-2.688 57.683)
http://www.wikidata.org/entity/Q7234675,Potarch,,Point(-2.64917 57.0639)
http://www.wikidata.org/entity/Q1008959,Potterton,,Point(-2.093 57.23)
http://www.wikidata.org/entity/Q7296039,Rattray,Rattra,Point(-1.85187 57.6108)
http://www.wikidata.org/entity/Q80571337,Relaquheim,,Point(-3.1304155 57.196618)
http://www.wikidata.org/entity/Q3774591,Rhynie,Rhynie,Point(-2.8344 57.3324)
http://www.wikidata.org/entity/Q3983,Rora,,Point(-1.901 57.545)
http://www.wikidata.org/entity/Q1017153,Rosehearty,Rizarty,Point(-2.1143495 57.6967703)
http://www.wikidata.org/entity/Q3981,Rothienorman,Rothienorman,Point(-2.464444444 57.410833333)
http://www.wikidata.org/entity/Q3984,Ruthven,Ruthven,Point(-2.81278 57.5081)
http://www.wikidata.org/entity/Q65823917,Ryland,,Point(-2.569329 57.612722)
http://www.wikidata.org/entity/Q7416108,Sandend,Saneyn,Point(-2.75 57.6833)
http://www.wikidata.org/entity/Q1009866,Sandhaven,Sandhaven,Point(-2.063646 57.6972588)
http://www.wikidata.org/entity/Q7427018,Sauchen,Sauchen,Point(-2.4992 57.1873)
http://www.wikidata.org/entity/Q1009885,St Combs,Saunt Coams,Point(-1.9107 57.6571)
http://www.wikidata.org/entity/Q1011272,St Cyrus,St Ceerus,Point(-2.4158 56.775)
http://www.wikidata.org/entity/Q2323916,St Fergus,St Fergus,Point(-1.83639 57.5583)
http://www.wikidata.org/entity/Q64809207,St John's Well,,Point(-2.338797 57.419357)
http://www.wikidata.org/entity/Q1002177,Stonehaven,Stanehyve,Point(-2.21 56.96)
http://www.wikidata.org/entity/Q7620846,Strachan,Strachan,Point(-2.53855 57.0205)
http://www.wikidata.org/entity/Q64759243,Strathbogie,,Point(-2.797248 57.428106)
http://www.wikidata.org/entity/Q3982,Strathdon,Strathdon,Point(-3.07574 57.1996)
http://www.wikidata.org/entity/Q1009989,Strichen,Strichen,Point(-2.0904 57.5865)
http://www.wikidata.org/entity/Q1009644,Stuartfield,Crichie,Point(-2.045 57.502)
